,Unnamed: 0,taxon,value,type,b1,b2,b3,b4,low,high,a1,a2,a3,a4,variable
0,0,Baetidae,,continuous,19.04,27.01,24.805,32.22,19.04,34.0,21.127337027336583,26.832940261272757,27.132358844945717,29.809148702058685,Temperature
1,1,Baetidae,,continuous,36.5,208.0,80.65,749.25,36.5,1981.0,91.31838503121924,163.09802829547846,625.3263667020664,719.4805463766743,Conductivity
2,2,Baetidae,,continuous,6.69,8.16,7.18,8.8,6.56,8.87,6.854260116260081,7.0472121141991355,7.262009755238263,7.777722827484729,pH
4,4,Baetidae,,continuous,0.53,3.7725,1.86,55.84,0.53,181.74,0.9655324748556118,3.1998920296737037,8.631240614322332,48.30363578217645,Cl-
5,5,Baetidae,,continuous,1.97,8.2725,6.5875,10.65,1.97,13.63,6.262302477702542,6.843694743662406,7.903216005890886,8.74821804899838,DO
6,6,Baetidae,,continuous,0.2,5.07,1.3725,85.43,0.0,355.63,1.0750228697722413,2.8026120679091324,4.753628177348222,8.035897748048532,Turbidity
7,7,Baetidae,,continuous,5.0,22.5,8.73,60.0,5.0,117.6,10.083373398408543,20.205385891381034,22.017440494865824,51.76004915217811,COD
8,8,Baetidae,,continuous,0.23,0.29,0.23,0.95,0.23,2.0,0.2429558759211859,0.2895677423526207,0.40565691146199717,0.7903411924574208,NO3--N
9,9,Baetidae,,continuous,0.02,0.095,0.03,1.26,0.015,8.8,0.07686220926722193,0.0941536464530383,0.6464707556005969,0.727169210801361,NH4+-N
10,10,Baetidae,,continuous,0.0,0.4,0.0,1.0,0.0,1.5,0.09879516826608029,0.13260465573644495,0.3765379463989137,0.8762721235729964,velocity
11,11,Baetidae,,continuous,3.0,165.0,43.5,1075.0,2.0,1075.0,52.8143749290158,65.30326392047085,121.80426966945006,143.62141034247634,Elevation
