,COD,Chlorophyll,Cl-,Conductivity,DO,Elevation,NH4+-N,NO3--N,Temperature,Turbidity,pH,velocity,ID,mutated,SSE,threshold,AUC,K,N,TSS,Sp,BIC,AIC,Kappa,CCI,Sn,rank
0,0,0,0,72.439 187.064 224.639 309.470,0,0,0,0,0,0.117 1.850 14.460 78.512,0,0,37,False,60.051487248355144,0.025,0.49581473214285715,8.0,120.0,-0.022321428571428603,0.44642857142857145,38.29993394225637,9.106892667191584,-0.02234636871508383,0.49166666666666664,0.53125,
1,0,0,0,72.439 187.064 224.639 309.470,0,0,0,0,0,0.117 1.850 14.460 78.512,0,0,37,False,60.051487248355144,0.025,0.49581473214285715,8.0,120.0,-0.022321428571428603,0.44642857142857145,38.29993394225637,9.106892667191584,-0.02234636871508383,0.49166666666666664,0.53125,
2,0,0,0,72.439 187.064 224.639 309.470,0,0,0,0,0,0.117 1.850 14.460 78.512,0,0,37,False,60.051487248355144,0.025,0.49581473214285715,8.0,120.0,-0.022321428571428603,0.44642857142857145,38.29993394225637,9.106892667191584,-0.02234636871508383,0.49166666666666664,0.53125,
3,0,0,0,72.439 187.064 224.639 309.470,0,0,0,0,0,0.117 1.850 14.460 78.512,0,0,37,False,60.051487248355144,0.025,0.49581473214285715,8.0,120.0,-0.022321428571428603,0.44642857142857145,38.29993394225637,9.106892667191584,-0.02234636871508383,0.49166666666666664,0.53125,
4,0,0,0,72.439 187.064 224.639 309.470,0,0,0,0,0,0.117 1.850 14.460 78.512,0,0,79,True,58.20487068284659,0.05,0.4958147321428571,8.0,120.0,0.1361607142857144,0.5892857142857143,38.29993394225637,9.169359217408513,0.13525498891352558,0.5666666666666667,0.546875,
5,0,0,0,65.485 188.985 382.552 672.769,0,0,0,0,0,0.600 0.674 14.460 78.512,0,0,91,True,51.42805110580865,1.0,0.548828125,8.0,120.0,0.0,1.0,38.29993394225637,9.416929767384083,0.0,0.4666666666666667,0.0,
6,0,0,0,0,0,0,0.029 0.419 0.612 1.900,0,23.831 26.019 28.555 31.719,0,6.890 7.632 7.867 8.010,0,88,True,62.44869036333799,0.1,0.45479910714285715,12.0,120.0,-0.013392857142857095,0.8928571428571429,57.44990091338455,18.64719731969063,-0.012658227848101349,0.4666666666666667,0.09375,
7,0,0,0,0,4.791 7.099 7.589 10.071,0,0,0.262 0.266 0.563 1.237,0,0,7.371 7.458 7.636 7.853,0,77,True,60.53173720371261,0.8000000000000002,0.49483816964285715,12.0,120.0,0.0625,1.0,57.44990091338455,18.70955223172455,0.058577405857740544,0.5,0.0625,
8,0,0,0,72.439 187.064 224.639 309.470,0,0,0,0.267 0.289 0.866 0.892,0,0,7.195 7.430 7.868 8.358,0,94,True,60.354575525009864,0.15000000000000002,0.462890625,12.0,120.0,0.0401785714285714,0.9464285714285714,57.44990091338455,18.715414328153415,0.037854889589905294,0.49166666666666664,0.09375,
9,0,0,0.706 1.310 10.531 38.356,91.349 102.823 114.851 721.728,0,0,0.057 0.062 0.079 0.191,0,26.443 26.754 28.454 30.175,0,0,0,41,False,64.97131307833581,0.8750000000000001,0.47781808035714285,16.0,120.0,-0.0022321428571429047,0.9821428571428571,76.59986788451273,28.933661727615625,-0.0020876826722337296,0.4666666666666667,0.015625,
